"","ID","total_hh_income","net_farm_income","net_remittance_received","cash_assistance_received","total_non_agri_income","rent_annual","other_income_annual","total_income","total_food_annual","net_expense_education","total_cost_chronic_inpatient","total_cost_chronic_outpatient","total_cost_acute","reported_oop","reimbursed_amount","total_health_cost","total_expenditure","income_expenditure_ratio"
"203",2442,830000,0,-220000,0,0,0,1000,611000,113100,27400,0,1400,0,1e+05,3e+05,1400,141900,4.30584918957012
"204",2443,273480,21500,0,240,0,0,0,295220,87100,-4600,0,0,0,10000,0,0,82500,3.57842424242424
"205",2444,0,40500,0,40000,0,0,0,80500,148460,0,0,0,0,10000,0,0,148460,0.54223359827563
"206",2449,25500,16302,654500,24000,0,0,3510,723812,259480,8450,0,0,0,0,0,0,267930,2.70149665957526
"207",2451,569000,110651,0,51200,14500,0,3500,748851,441896,12700,0,36680,0,6000,0,36680,491276,1.52429795064282
"208",2455,720000,23410,-61000,0,50000,0,2e+05,932410,1441960,4040,0,0,0,7000,0,0,1446000,0.644820193637621
"209",2457,207500,37200,197500,0,2e+05,0,1e+05,742200,447096,0,0,0,0,17000,0,0,447096,1.6600461645821
"210",2459,29490,5152,272800,0,0,0,25500,332942,178100,13690,0,52245,60,50,0,52305,244095,1.36398533357914
"211",2474,0,0,0,0,1735000,0,85000,1820000,317200,89800,0,0,0,0,0,0,407000,4.47174447174447
"212",2476,93600,40900,4e+05,0,0,0,0,534500,208520,22900,0,0,0,0,0,0,231420,2.30965344395471
"213",2481,5e+06,-2350,8e+05,106000,0,0,100,5903750,200200,40900,0,36800,0,1e+05,6000,36800,277900,21.2441525728679
"214",2497,271000,20000,0,0,0,0,0,291000,191100,95000,0,0,0,25000,0,0,286100,1.01712687871374
"215",2499,367900,36450,0,0,0,0,0,404350,423072,14520,0,0,0,4000,3200,0,437592,0.924034260224136
"216",2501,833000,60000,0,60000,0,0,13000,966000,358020,0,0,0,0,8000,0,0,358020,2.69817328640858
"217",2502,729000,0,0,0,0,0,10000,739000,332020,59800,0,0,0,10000,0,0,391820,1.88607013424532
"218",2505,0,0,0,132000,0,0,217000,349000,169000,0,0,36810,160,36000,0,36970,205970,1.69442151769675
"219",2507,56000,-16900,0,48000,0,0,0,87100,133640,0,0,27400,0,30000,0,27400,161040,0.540859413810234
"220",2508,347000,13508,0,48000,0,0,4000,412508,244400,1500000,0,0,0,10000,0,0,1744400,0.236475578995643
"221",2511,1553500,-118000,-3e+05,0,0,0,121200,1256700,1669200,83400,0,24400,0,2e+05,0,24400,1777000,0.707203151378728
"222",2512,30000,-35390,0,48000,0,0,50,42660,56420,0,0,2140,1870,4000,0,4010,60430,0.705940757901704
